github.com/intel/fMBT,
github.com/intel/thermal_daemon,
github.com/intel/numatop,
github.com/intel/pm-graph,
github.com/intel/libipt,
github.com/intel/dptf,
github.com/intel/zlib,
github.com/intel/libva,
github.com/intel/intel-vaapi-driver,
github.com/intel/libyami,
github.com/intel/ioprof,
github.com/intel/fiovisualizer,
github.com/intel/intel-cmt-cat,
github.com/intel/libxcam,
github.com/intel/acat,
github.com/intel/auto-pts,
github.com/intel/tinycbor,
github.com/intel/tinycrypt,
github.com/intel/ikgt-core,
github.com/intel/hyperscan,
github.com/intel/Igvtg-qemu,
github.com/intel/icamerasrc,
github.com/intel/iotg-lin-gfx-libva,
github.com/intel/QAT_Engine,
github.com/intel/isa-l,
github.com/intel/yask,
github.com/intel/linux-sgx,
github.com/intel/libmei,
github.com/intel/bmap-tools,
github.com/intel/safestringlib,
github.com/intel/isa-l_crypto,
github.com/intel/linux-sgx-driver,
github.com/intel/FSP,
github.com/intel/zephyr,
github.com/intel/iotg-yocto-bsp-public,
github.com/intel/BCT,
github.com/intel/gvt-linux,
github.com/intel/yarpgen,
github.com/intel/pcm,
github.com/intel/intel-ipsec-mb,
github.com/intel/ARM_NEON_2_x86_SSE,
github.com/intel/libva-utils,
github.com/intel/fpga-partial-reconfig,
github.com/intel/content-hub,
github.com/intel/mOS,
github.com/intel/IA-Hardware-Composer,
github.com/intel/lkp-tests,
github.com/intel/intel-sgx-ssl,
github.com/intel/ideep,
github.com/intel/CommsPowerManagement,
github.com/intel/mpi-benchmarks,
github.com/intel/generic-sensor-demos,
github.com/intel/userspace-cni-network-plugin,
github.com/intel/Board-Instrumentation-Framework,
github.com/intel/compute-runtime,
github.com/intel/intel-graphics-compiler,
github.com/intel/gmmlib,
github.com/intel/compute-samples,
github.com/intel/ledmon,
github.com/intel/tcf,
github.com/intel/cm-compiler,
github.com/intel/media-driver,
github.com/intel/opencl-clang,
github.com/intel/asynch_mode_nginx,
github.com/intel/opencl-intercept-layer,
github.com/intel/container-experience-kits,
github.com/intel/psst,
github.com/intel/linux-intel-lts,
github.com/intel/QATzip,
github.com/intel/openlldp,
github.com/intel/INTEL-SA-00086-Linux-Recovery-Tools,
github.com/intel/intel-device-resource-mgt-lib,
github.com/intel/metrics-discovery,
github.com/intel/nn-hal,
github.com/intel/ros2_object_msgs,
github.com/intel/webml-polyfill,
github.com/intel/net-test-suites,
github.com/intel/ipmctl,
github.com/intel/intel-device-plugins-for-kubernetes,
github.com/intel/linux-intel-quilt,
github.com/intel/ipp-crypto,
github.com/intel/lmbench,
github.com/intel/light-model-transformer,
github.com/intel/scikit-learn-intelex,
github.com/intel/pmem-csi,
github.com/intel/SGXDataCenterAttestationPrimitives,
github.com/intel/ros2_grasp_library,
github.com/intel/ros2_openvino_toolkit,
